Bank,KKH,1 month,2 month,3 month,6 month,9 month,12 month,18 month, 24 month,36 month
ABBank,0.4,4.9,4.9,5.3,6,5.7,7,7,7,7
ACB,0.3,4.7,4.7,5,5.5,5.5,6.2,6.9,6.5,6.7
Bắc á bank,1,5.4,5.4,5.5,6.9,7,7.4,7.65,7.65,7.65
Baoviet Bank,1,5.2,5.3,5.5,6.6,6.5,7.2,7.4,7.4,7.6
BIDV,0.2,4.3,4.3,4.8,5.3,5.5,6.9,6.8,6.8,6.8
HD Bank,0.7,5,5,5.2,5.9,6.2,7,7.6,6.9,6.9
Kiên Long bank,1,5.3,5.4,5.4,6.5,6.5,7.1,7.2,7,7
LienvietPostBank,1,4.4,4.5,5,5.5,5.7,6.8,7.1,7.2,7.4
Maritime Bank,0,5.25,5.25,5.45,6.5,6.5,6.8,7,7,7
NCB,0,5.3,5.35,5.5,7,6.7,7.3,7.8,8,7.5
Ngân hàng ANZ,0,0,0,0,0,0,0,0,0,0
Ngân hàng Nam Á,1,5.4,5.4,5.4,6.6,6.7,7,7.4,7.4,7.1
Ngân hàng nông nghiệp và phát triển nông thôn,0.3,4.3,4.3,4.8,5.3,5.5,6.5,6.5,6.8,0
Ngân Hàng Phương Đông,0,5.4,5.5,5.5,6.6,6.75,7.4,7.4,7.5,7.6
Ngân hàng quân đội,0.3,4.4,4.5,4.9,5.4,5.6,7.2,0,7.5,7
Ngân Hàng TM TNHH MTV Dầu khí toàn cầu,0,5.4,5.4,5.5,6.1,6.2,6.9,0,6.9,6.9
Ngân Hàng TMCP Công Thương Việt Nam,0.2,4.8,4.8,5.2,5.2,5.8,6.8,6.8,6.8,6.8
Ngân hàng TMCP Đông Á,0,5.4,5.5,5.5,6.7,6.8,7.2,0,0,0
Ngân hàng TMCP Sài gòn,0,5.4,5.5,5.5,6.9,6.9,7.3,7.5,7.55,7.55
Ngân Hàng TMCP Sài Gòn - Hà Nội,0.5,5.1,5.1,5.3,6.4,6.4,7,7.2,7.2,7.2
Ngân hàng TMP Quốc tế Việt Nam,0.1,5,5,5.3,5.7,5.7,7.15,7.15,7.15,7.15
Ngân hàng TNHH MTV Shinhan Việt Nam,0.25,4.1,4.3,4.6,5.1,5.3,6,6.1,6.1,6.2
Ngân hàng Việt Nam Thương Tín,0.3,5.4,5.4,5.5,7.1,7.35,7.5,7.7,7.8,7.9
Ngân hàng xây dựng,1,5.4,5.45,5.45,6.55,6.55,7.2,7.2,7.3,7.3
Ocean Bank,0.8,5.2,5.2,5.5,6.2,6.3,7,7.2,7.3,7.4
PGBank,0,5.3,5.4,5.5,6.6,6.7,7.1,7.3,7.3,7.3
PVCom bank,0,5.3,5.4,5.5,6.5,6.8,7.5,7.6,7.7,7.7
Sacombank,0,5,5.1,5.4,6,6,6.8,7,7,7
Sai Gon Bank,0.5,4.8,4.8,5.5,5.9,5.8,6.8,7,7.1,0
SeaBank,0.3,5.1,5.2,5.25,5.8,6.2,6.8,6.85,6.9,6.95
Techcombank,0,4.7,4.7,4.9,5.6,5.8,6.4,6.65,0,0
TP Bank,0.6,0,0,0,0,0,0,0,0,7.45
Viet Á Bank,0.3,5.5,5.5,5.5,6.8,6.9,7.5,7.8,7.8,7.8
Viet Capital Bank,1,5.4,5.4,5.4,7.2,7.3,7.4,8.2,7.2,7.2
Vietcombank,0.2,4.3,4.3,4.8,5.3,5.5,6.5,0,6.5,6.5
Vietnam Russia bank,1,5.1,5.1,5.3,6.1,6.2,6.9,7.2,7.3,7.3
VPBank,0.5,5.2,5.3,5.4,6.4,6.5,6.7,7,7.1,7.2
